Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
220,04-06-2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/Angel Funding,125000.0
224,07-06-2018,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.0
225,07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,Sequoia Capital India SAIF Partners Y Combinator and Venture Highway,Private Equity,11500000.0
226,10-06-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,CapitalG SAIF Partners and LGT Impact Ventures,Private Equity,21500000.0
228,12-06-2018,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000.0
229,12-06-2018,eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000.0
230,12-06-2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed/Angel Funding,3000000.0
231,13-06-2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,Spiral Ventures Subho Ray and Samir Kumar,Seed/Angel Funding,300000.0
232,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,LetsVenture Rajan Anandan Basab Pradhan Vivek Khare and Bijoy George,Seed/Angel Funding,450000.0
234,14-06-2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Brand Capital,Seed/Angel Funding,3450000.0
235,14-06-2018,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,4800000.0
236,18-06-2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.0
237,18-06-2018,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/Angel Funding,1700000.0
239,19-06-2018,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,Shorooq Investments LetsVenture & Others,Seed/Angel Funding,1100000.0
240,20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,Accel Partners Sequoia India Y Combinator and others.,Private Equity,15000000.0
241,22-06-2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,Sequoia Capital Accel Partners & Raghunandan Gangappa,Private Equity,9100000.0
242,25-06-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.0
243,25-06-2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,4000000.0
244,25-06-2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/Angel Funding,1000000.0
245,26-06-2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,8950000.0
246,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,Accel Partners IDG Venture Endiya Partners pi Ventures VH Capital Axilor Ventures and Binny Bansal,Private Equity,19000000.0
247,27-06-2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000.0
248,28-06-2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/Angel Funding,1100000.0
249,28-06-2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/Angel Funding,2000000.0
251,02-05-2018,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed/Angel Funding,450000.0
252,02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,B Capital International Finance Corporation (IFC) Accel Partners and IDG Ventures,Private Equity,22000000.0
253,03-05-2018,Disprz,IT,SaaS,Chennai,IL&FS Private Equity Kae Capital & Others,Seed/Angel Funding,2500000.0
254,07-05-2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,,Seed/Angel Funding,225000.0
255,09-05-2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,Unitus Ventures Behram Vakil and Jerxis Vandrevala,Seed/Angel Funding,1000000.0
256,11-05-2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed/Angel Funding,949000.0
257,14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Sunil Munjal Harsh Mariwala Dalip Pathak and Others,Private Equity,24000000.0
258,16-05-2018,mfine,Healthcare,Doctor-Consultation App,Bengaluru,Prime Venture Partners Stellaris Venture Partners and Mayur Abhaya Srisrimal,Private Equity,4200000.0
259,21-05-2018,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/Angel Funding,300000.0
260,21-05-2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,Kalaari Capital Unilever Ventures and Blume Ventures,Private Equity,7000000.0
261,22-05-2018,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/Angel Funding,500000.0
262,22-05-2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/Angel Funding,735000.0
263,23-05-2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/Angel Funding,735000.0
264,23-05-2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,Insistor Oikocredit,Seed/Angel Funding,2000000.0
265,24-05-2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,Ashish Kacholi S Chand Group,Seed/Angel Funding,2000000.0
266,24-05-2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/Angel Funding,293000.0
267,27-05-2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,Amazon Ashish Dhawan Catamaran Ventures NR Narayana Murthy.,Seed/Angel Funding,12000000.0
268,28-05-2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,Prashant Mehta Mitali Pawar Nikhil G and Bhavesh P R Ranganathan ONCOTRUST and Medintel Services Pvt. Ltd,Seed/Angel Funding,200000.0
269,29-05-2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,Kalaari Capital Omidyar Network and Accion Venture Labs,Seed/Angel Funding,1500000.0
270,29-05-2018,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,8000000.0
272,30-05-2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,IndusAge Partners Bill & Melinda Gates Foundation Qualcomm Venture ABB Technology Ventures Omnivore Blume Ventures Venture Highway and BEENEXT,Private Equity,14000000.0
273,31-05-2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,Accion Venture Lab YourNest Venture Capital And Other Angel Investors,Seed/Angel Funding,1300000.0
274,02-04-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Exfinity Venture Saha fund Partners Arihant Patni of Patni Family Office Anjali Bansal Shardul Amarchand Mangaldas Satish Khanna and Taparia family office.,Private Equity,2000000.0
275,02-04-2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed/Angel Funding,307600.0
277,02-04-2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,,Seed/Angel Funding,1300000.0
278,04-04-2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,ChrysCapital Existing investors Elevar Equity LGT Impact Omidyar Network and Kaizen Private Equity also participated in the round,Private Equity,55000000.0
279,05-04-2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,Maheshwar Peri founder and chairman of career information portal Careers360 and Jamshed Jeejeebhoy director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels,Seed/Angel Funding,150000.0
280,05-04-2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,Accel Partners Tiger Global And Others,Private Equity,10000000.0
281,09-04-2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed/Angel Funding,2800000.0
282,09-04-2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed/Angel Funding,1000000.0
284,09-04-2018,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,,Seed/Angel Funding,46140.0
286,10-04-2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,Fundamentum SAIF Partners Bessemer Venture Partners RB investments & Others,Private Equity,12000000.0
287,12-04-2018,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,SRI Capital Waterbridge Ventures and ThinKuvate,Seed/Angel Funding,1000000.0
288,12-04-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,BlueOrchard Finance Ltd Hinduja Leyland Finance and IntelleGrow,Debt Funding,4600000.0
289,13-04-2018,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed/Angel Funding,2000000.0
290,16-04-2018,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed/Angel Funding,500000.0
292,18-04-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,International Finance Corporation Transamerica and others.,Private Equity,22000000.0
295,19-04-2018,Fyle Technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Seed/Angel Funding,1100000.0
296,19-04-2018,True Balance,Technology,Mobile Balance Checking App,Gurugram,Line Ventures Corporation Line Corp Naver Shinhan Bank and TS Investment,Private Equity,23000000.0
298,22-04-2018,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed/Angel Funding,1900000.0
299,22-04-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Sunil Munjal Harsh Mariwala Dalip Pathak and Others,Private Equity,11000000.0
300,23-04-2018,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,,Seed/Angel Funding,150000.0
301,23-04-2018,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,22000000.0
302,25-04-2018,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,GEMS Advisory Alok Mittal and Sachin Bhatia,Seed/Angel Funding,246000.0
303,26-04-2018,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,Neoplux OPPO IDG Ventures India Kalaari Capital GREE Ventures and Summit Media,Private Equity,5500000.0
305,27-04-2018,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,Sequoia Capital Maverick Capital Ltd and HBM Healthcare Investments Ltd,Private Equity,10000000.0
307,30-04-2018,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000.0
308,30-04-2018,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed/Angel Funding,978000.0
310,01-03-2018,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000.0
311,01-03-2018,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,Sequoia Capital SAIF Partners and Kalaari capital,Private Equity,12000000.0
312,03-03-2018,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,Baskar Subramanian Saket Kumar Gaurav Suri and Ankit Kesarwani,Seed/Angel Funding,250000.0
313,04-03-2018,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000.0
314,05-03-2018,Wellthy,Healthcare,Therapeutics,Mumbai,Ranjan Pai Apoorva Patni Beenext VenturesGrowX Ventures,Private Equity,2100000.0
315,05-03-2018,MedGenome,Healthcare,Genetic Screening DNA Diagnostics Labs & Research Centers,Bengaluru,HDFC Life HDFC Asset Management,Private Equity,10000000.0
316,05-03-2018,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000.0
317,05-03-2018,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,Vertex Ventures Accel Partners and Saama Capital,Private Equity,5000000.0
318,04-03-2018,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed/Angel Funding,1100000.0
319,06-03-2018,Ad2pro,Technology,Creative Design Brand Media and Technology Platform Solutions,Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000.0
320,06-03-2018,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000.0
321,08-03-2018,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,38400000.0
322,08-03-2018,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000.0
323,12-03-2018,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed/Angel Funding,1000000.0
324,13-03-2018,PineLabs,Technology,Digital Payment Platform,Mumbai,Actis Altimeter Capital,Private Equity,82000000.0
326,14-03-2018,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Matrix Partners Bhavish Aggarwal Ankit Bhati Binny Bansal Kunal Shah and Manish Patel.,Private Equity,17200000.0
327,15-03-2018,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,SoftBank Tiger Global and Apoletto Managers.,Private Equity,62000000.0
328,19-03-2018,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,1310000.0
329,19-03-2018,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,1Crowd Ankur Capital,Seed/Angel Funding,500000.0
330,19-03-2018,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,Amit Burman SIDBI Venture Capital,Seed/Angel Funding,3000000.0
331,19-03-2018,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,Pi Ventures Axilor Ventures,Seed/Angel Funding,1000000.0
334,22-03-2018,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,Insight Venture Partners Accel Partners and Tiger Global Management.,Private Equity,18000000.0
335,22-03-2018,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed/Angel Funding,768000.0
336,22-03-2018,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed/Angel Funding,1240000.0
338,26-03-2018,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,Initia HoldingsVipin Agarwal and others.,Seed/Angel Funding,1000000.0
339,28-03-2018,Roadcast,Technology,Fleet management and asset monitoring platform,Delhi,,Private Equity,250000.0
340,28-03-2018,Smartcoin,Finance,Micro lending company,Bengaluru,Accion Venture Lab Unicorn India Ventures and ISME ACE.,Seed/Angel Funding,2000000.0
341,27-03-2018,The Print,Media,News portal,Delhi,Ratan Tata,Seed/Angel Funding,535000.0
342,27-03-2018,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,3000000.0
344,01-02-2018,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,Alibaba Helion Venture Partners Bessemer Venture Partners Ascent Capital,Private Equity,300000000.0
345,01-02-2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,200000000.0
346,05-02-2018,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,4300000.0
347,05-02-2018,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,21000000.0
348,05-02-2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,Man Capital LLP Girnar Software Others,Private Equity,2000000.0
350,06-02-2018,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,3100000.0
351,07-02-2018,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,100000000.0
352,08-02-2018,Shape,Healthcare,Online Portal for Dietfitness and Beauty,Pune,Sandeep Mathur,seed/angel Funding,100000000.0
353,08-02-2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000.0
354,09-02-2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,12000000.0
356,09-02-2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,Accel Partners Sequoia Capital,Private Equity,6830000.0
358,12-02-2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000.0
360,12-02-2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089.0
361,13-02-2018,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,seed/angel Funding,311200.0
363,13-02-2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,Michael & Susan Dell Foundation LGT Impact Ventures,Private Equity,13500000.0
364,14-02-2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000.0
365,14-02-2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,100000.0
366,14-02-2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,Dewang Neralla Mahesh KothurkarAtul Agarwal,Private Equity,500000.0
367,14-02-2018,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,5000000.0
368,15-02-2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed/Angel Funding,148434.0
369,15-02-2018,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000.0
370,16-02-2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed/Angel Funding,250000.0
371,16-02-2018,Fincash,Finance,Fin-Tech,Mumbai,Mohammed Khan Sameer Narayan & Others,Seed/Angel Funding,150000.0
372,19-02-2018,AyeFinance,Finance,Online Lending,Gurugram,Hinduja Leyland Finance IntelleGrow,Private Equity,3800000.0
